position,positionStringShort,name,positionRow,isCaptain,rating,fantasyScore,minutesPlayed,isGoalkeeper,goal,assist,subbedOutTime,yellowCard,redCard,total_shots,accurate_passes,chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy,blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,accurate_long_balls,dispossessed,xG_Non_penalty,tackles_won,clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won,aerial_duels_won,was_fouled,fouls_commited,successful_dribbles,penalties_won,big_chances_missed,accurate_crosses
Attacker,ST,Taiwo Awoniyi,5,False,7.6,6,76,False,1,0,76,0,0,3,88,0,1.3,1.26,0.01,1.31,67,0,27,3,1,0,0,1.3,0,2,2,4,2,0,3,3,50,50,1,1,0,0,2,0
Attacker,ST,Morgan Gibbs-White,5,True,6.4,5,90,False,0,0,,0,0,2,72,1,0.18,0.19,0.12,0.3,50,0,61,3,10,33,3,0.18,0,3,1,4,4,0,5,8,50,20,3,0,0,0,0,36
Midfielder,CM,Nicolás Dominguez,3,False,6.2,1,45,False,0,0,46,0,0,1,61,0,0.04,0,0,0.04,0,1,26,3,1,50,2,0.04,100,0,0,3,1,0,2,2,33,100,0,0,0,0,0,0
Midfielder,CM,Orel Mangala,3,False,6.4,2,90,False,0,0,,0,0,0,92,0,0,0,0.01,0.01,0,0,65,0,3,100,2,0,0,4,1,7,4,2,2,6,14,100,1,1,0,0,0,100
Midfielder,CM,Ibrahim Sangaré,3,False,6.7,2,89,False,0,0,90,0,0,0,87,1,0,0,0.14,0.14,0,0,66,2,9,33,1,0,40,3,1,17,5,1,5,12,42,0,0,5,0,0,0,0
Defender,LB,Harry Toffolo,1,False,5.9,1,90,False,0,0,,0,0,0,69,2,0,0,0.16,0.16,0,0,54,0,7,0,1,0,0,1,0,5,6,0,4,4,40,67,1,2,0,0,0,100
Defender,CB,Murillo,1,False,6.3,1,76,False,0,0,76,0,0,0,90,0,0,0,0.01,0.01,0,0,57,0,7,57,0,0,100,3,2,4,3,0,2,0,100,100,0,0,0,0,0,0
Defender,CB,Moussa Niakhaté,1,False,6.0,0,90,False,0,0,,1,0,0,84,0,0,0,0.05,0.05,0,0,75,0,3,29,0,0,100,3,1,7,5,0,4,1,75,100,1,1,0,0,0,0
Defender,RB,Ola Aina,1,False,6.8,4,76,False,0,1,76,0,0,0,85,1,0,0,0.08,0.08,0,0,51,1,5,0,1,0,100,1,0,3,4,0,4,2,33,100,0,0,0,0,0,0
Keeper,GK,Odisseas Vlachodimos,0,False,6.0,2,90,True,0,0,,0,0,0,83,1,0,0,0,0,0,0,45,0,0,62,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,José Sá,0,False,6.9,2,90,True,0,0,,0,0,0,76,0,0,0,0,0,0,0,28,0,0,50,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Nélson Semedo,1,False,7.5,2,67,False,0,0,67,0,0,1,76,1,0.02,0,0.02,0.04,0,1,57,0,1,67,1,0.02,100,1,0,3,4,0,6,1,83,100,1,0,100,0,0,0
Defender,CB,Max Kilman,1,True,6.8,2,90,False,0,0,,0,0,0,82,0,0,0,0.02,0.02,0,0,61,0,8,55,0,0,0,4,3,6,3,0,2,2,50,50,0,1,0,0,0,0
