matchId,position,positionStringShort,positionRow,isCaptain,minutesPlayed,isGoalkeeper,name,rating,fantasyScore,goal,assist,subbedOutTime,subbedInTime,yellowCard,redCard,total_shots,accurate_passes_rate(%),chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy(%),blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,long_balls_accuracy(%),dispossessed,xG_Non_penalty,tackles_won_rate(%),clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won_rate(%),aerial_duels_won_rate(%),was_fouled,fouls_commited,dribble_success_rate(%),penalties_won,big_chances_missed,crosses_success_rate(%),accurate_passes,shot_accuracy,successful_dribbles,tackles_won,ground_duels_won,aerial_duels_won
4193457,Attacker,ST,5,False,90,False,Richarlison,6.2,2,0,0,,,0,0,2,0,1,0.17,0.06,0.01,0.18,0,1,36,0,1,0,3,0.17,0,0,0,0,1,0,3,10,0,0,0,0,0,0,0,0,72,100,60,0,38,0
4193457,Attacker,ST,5,False,90,False,Richarlison,6.2,2,0,0,,,0,0,2,72,1,0.17,0.06,0.01,0.18,100,1,36,0,1,0,3,0.17,0,0,0,0,1,0,3,10,38,0,0,0,60,0,0,0
4193457,Midfielder,LW,4,True,75,False,Heung-Min Son,6.2,2,0,0,75,,0,0,2,88,0,0.1,0.13,0.05,0.15,50,0,46,0,0,0,2,0.1,100,0,0,2,2,1,3,5,38,0,1,1,50,0,0,0
4193457,Midfielder,AM,4,False,90,False,James Maddison,8.8,7 + 2,0,2,,,1,0,2,89,6,0.07,0.02,0.95,1.02,100,1,87,0,7,40,2,0.07,0,1,0,6,3,0,4,7,33,50,2,3,0,0,0,17
4193457,Midfielder,RW,4,False,90,False,Dejan Kulusevski,7.6,2,0,0,,,0,0,3,84,1,0.04,0,0.36,0.4,0,2,71,0,0,0,0,0.04,50,0,0,6,6,2,6,4,67,0,1,1,100,0,0,0
4193457,Midfielder,DM,2,False,75,False,Oliver Skipp,6.3,1,0,0,75,,1,0,0,95,0,0,0,0.01,0.01,0,0,49,0,7,0,0,0,0,0,0,2,1,0,2,4,50,25,1,1,0,0,0,0
4193457,Midfielder,DM,2,False,90,False,Yves Bissouma,8.4,2,0,0,,,0,0,3,92,1,0.04,0,0.11,0.15,0,2,138,0,15,50,0,0.04,33,2,2,11,7,0,9,4,75,0,1,2,83,0,0,0
4193457,Defender,LB,1,False,90,False,Iyenoma Udogie,7.5,1,0,0,,,0,0,0,94,1,0,0,0.04,0.04,0,0,86,0,14,0,0,0,100,0,0,8,5,0,5,6,50,0,2,2,0,0,0,0
4193457,Defender,CB,1,False,90,False,Micky van de Ven,8.0,1,0,0,,,0,0,2,94,0,0.03,0,0.03,0.06,0,0,85,0,9,50,0,0.03,100,5,0,7,6,0,9,1,100,80,1,0,100,0,0,0
4193457,Defender,CB,1,False,14,False,Cristian Romero,7.4,7,1,0,14,,0,0,1,100,0,0.58,0.62,0.01,0.59,100,0,10,0,2,0,0,0.58,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
4193457,Defender,RB,1,False,90,False,Emerson Royal,8.3,7 + 1,1,0,,,0,0,1,91,0,0.03,0.24,0.14,0.17,100,0,134,0,7,33,0,0.03,100,3,2,5,8,2,3,5,38,0,1,1,33,0,0,0
4193457,Keeper,GK,0,False,90,True,Guglielmo Vicario,7.8,1,0,0,,,1,0,0,63,0,0,0,0,0,0,0,39,0,0,25,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
4193477,Keeper,GK,0,False,90,True,Guglielmo Vicario,7.7,8 + 3,0,0,,,0,0,0,92,0,0,0,0,0,0,0,55,0,0,50,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
4193477,Defender,RB,1,False,88,False,Pedro Porro,7.8,6,0,0,88,,0,0,1,81,1,0.11,0,0.12,0.23,0,0,65,0,5,75,0,0.11,0,3,2,8,7,2,2,5,33,0,0,2,100,0,0,50
4193477,Defender,CB,1,False,90,False,Cristian Romero,7.2,6,0,0,,,0,0,1,88,0,0.11,0,0.01,0.12,0,0,91,0,6,50,0,0.11,0,4,4,9,4,0,1,1,100,0,0,0,0,0,0,0
4193477,Defender,CB,1,False,90,False,Micky van de Ven,7.3,6 + 1,0,0,,,0,0,0,93,0,0,0,0.01,0.01,0,0,68,0,4,0,0,0,100,1,0,4,4,1,2,2,50,0,0,0,50,0,0,0
4193477,Defender,LB,1,False,70,False,Iyenoma Udogie,7.3,5,0,0,70,,1,0,1,88,1,0.09,0.35,0.09,0.18,100,0,55,0,3,0,1,0.09,0,3,1,7,6,0,4,7,30,100,0,3,40,0,1,0
4193477,Midfielder,DM,2,False,76,False,Pape Sarr,8.5,8 + 2,1,0,76,,0,0,5,86,1,0.64,1.0,0.03,0.67,50,1,46,0,4,100,0,0.64,100,0,0,2,7,1,4,1,75,100,1,0,0,0,0,0
4193477,Midfielder,DM,2,False,90,False,Yves Bissouma,7.8,3,0,0,,,0,0,2,88,0,0.07,0,0.01,0.08,0,0,74,0,4,67,1,0.07,80,3,3,12,6,2,10,6,60,100,3,2,50,0,0,0
4193477,Midfielder,RW,4,False,88,False,Dejan Kulusevski,6.9,3,0,0,88,,0,0,2,58,1,0.08,0.14,0.02,0.1,100,0,33,0,1,0,0,0.08,0,1,1,1,3,2,0,4,0,0,0,0,0,0,0,100
