position,positionStringShort,name,positionRow,isCaptain,rating,fantasyScore,minutesPlayed,isGoalkeeper,goal,assist,subbedOutTime,yellowCard,redCard,total_shots,accurate_passes_rate(%),chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy(%),blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,long_balls_accuracy(%),dispossessed,xG_Non_penalty,tackles_won_rate(%),clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won_rate(%),aerial_duels_won_rate(%),was_fouled,fouls_commited,dribble_success_rate(%),penalties_won,big_chances_missed,crosses_success_rate(%)
Midfielder,CM,Marvelous Nakamba,3,FALSE,6.9,2,90,FALSE,0,0,,0,0,0,85,0,0,0,0,0,0,0,32,0,2,0,0,0,83,1,0,12,4,2,7,4,60,100,0,2,0,0,0,0
Midfielder,CM,Tahith Chong,3,FALSE,6.3,1,74,FALSE,0,0,75,1,0,1,67,0,0.05,0.2,0,0.05,100,0,19,1,1,0,0,0.05,0,0,0,2,2,0,2,0,100,0,1,1,0,0,0,0
Defender,LB,Amari'i Bell,1,FALSE,6.5,2,90,FALSE,0,0,,0,0,1,54,0,0.25,0.67,0,0.25,100,0,29,1,4,33,0,0.25,33,3,1,9,2,1,4,4,57,0,1,2,0,0,1,0
Defender,CB,Tom Lockyer,1,TRUE,7.3,2,90,FALSE,0,0,,0,0,1,67,0,0.21,0,0,0.21,0,0,42,1,5,25,0,0.21,50,3,1,8,8,0,6,1,100,67,1,1,100,0,1,0
Defender,CB,Mads Juel Andersen,1,FALSE,6.9,2,90,FALSE,0,0,,0,0,0,80,0,0,0,0,0,0,0,39,0,4,75,0,0,0,2,2,6,7,0,2,1,0,67,0,0,0,0,0,0
Defender,CB,Reece Burke,1,FALSE,6.7,2,81,FALSE,0,0,82,0,0,0,65,0,0,0,0,0,0,0,28,3,5,0,1,0,100,3,3,7,2,0,7,2,67,83,0,0,0,0,0,0
Defender,RB,Issa Kabor?,1,FALSE,6.9,2,90,FALSE,0,0,,0,0,1,79,3,0.03,0,0.37,0.4,0,1,46,1,5,0,0,0.03,0,2,0,9,1,1,5,6,33,100,1,3,33,0,0,100
Keeper,GK,Thomas Kaminski,0,FALSE,5.2,1,90,TRUE,0,0,,1,0,0,36,0,0,0,0.01,0,0,0,34,0,0,28,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Andre Onana,0,FALSE,5.8,2,90,TRUE,0,0,,0,0,0,69,0,0,0,0,0,0,0,47,0,0,15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Diogo Dalot,1,FALSE,7.1,1,90,FALSE,0,0,,0,0,0,81,1,0,0,0.07,0.07,0,0,58,0,5,50,1,0,50,0,0,8,11,0,10,3,77,0,0,1,80,0,0,0
Defender,CB,Victor Nilsson Lindel?f,1,FALSE,6.5,1,90,FALSE,0,0,,0,0,1,94,2,0.15,0,0.01,0.16,0,0,70,0,6,75,0,0.15,0,0,0,2,10,1,2,2,33,100,0,1,100,0,0,0
Defender,CB,Lisandro Martinez,1,FALSE,6.4,4,85,FALSE,0,1,85,0,0,0,95,1,0,0,0.01,0.01,0,0,65,0,6,80,1,0,100,0,0,2,5,1,1,2,33,0,0,0,0,0,0,0
Defender,LB,Sergio Reguilon,1,FALSE,6.4,1,85,FALSE,0,0,85,0,0,0,88,2,0,0,0.03,0.03,0,0,58,0,2,0,0,0,0,1,0,3,6,1,7,4,70,0,3,0,50,0,0,0
Midfielder,DM,Casemiro,2,FALSE,6.2,2,64,FALSE,0,0,64,0,0,0,80,1,0,0,0.01,0.01,0,0,56,0,8,50,1,0,100,0,0,3,4,1,3,3,50,0,1,1,0,0,0,0
Midfielder,RM,Scott McTominay,3,FALSE,6.4,2,85,FALSE,0,0,85,0,0,0,88,0,0,0,0.01,0.01,0,0,22,0,6,100,1,0,0,0,0,1,1,0,2,1,67,0,0,0,100,0,0,0
Midfielder,LM,Christian Eriksen,3,FALSE,6.8,2,90,FALSE,0,0,,0,0,0,89,0,0,0,0.02,0.02,0,0,66,0,7,0,1,0,100,0,0,2,4,0,4,2,67,0,1,1,100,0,0,20
Midfielder,AM,Bruno Fernandes,4,TRUE,7,1,90,FALSE,0,0,,1,0,2,81,2,0.07,0.02,0.48,0.55,100,1,98,0,17,54,1,0.07,0,0,0,2,4,0,3,5,38,0,1,2,50,0,0,17
Attacker,ST,Rasmus H©ªjlund,5,FALSE,6.4,2,64,FALSE,0,0,64,0,0,1,89,2,0.03,0.98,0.03,0.06,0,0,15,0,1,0,1,0.03,0,0,0,1,3,0,2,2,67,0,1,0,0,0,1,0
Attacker,ST,Marcus Rashford,5,FALSE,7,2,90,FALSE,0,0,,0,0,9,83,1,0.69,0.46,0.03,0.72,50,5,51,0,1,100,2,0.69,0,0,0,0,2,1,5,8,45,0,0,0,63,0,0,0
Attacker,ST,Danny Welbeck,5,FALSE,8.2,6 + 1,64,FALSE,1,0,64,0,0,2,87,1,0.55,0.35,0.02,0.57,50,0,35,0,0,0,0,0.55,67,2,1,7,0,0,3,2,60,0,0,1,0,0,0,0
Midfielder,LW,Kaoru Mitoma,4,FALSE,6.5,2,90,FALSE,0,0,,0,0,1,83,0,0.14,0.61,0.03,0.17,100,0,40,0,1,0,0,0.14,0,0,0,2,3,3,2,8,20,0,1,0,0,0,1,0
Midfielder,AM,Adam Lallana,4,FALSE,6.9,3,64,FALSE,0,0,64,0,0,0,90,1,0,0,0.01,0.01,0,0,28,0,0,0,1,0,0,0,0,2,2,2,3,3,50,0,1,0,100,0,0,0
Midfielder,RW,Simon Adingra,4,FALSE,8,5,85,FALSE,0,1,85,0,0,0,83,1,0,0,0.1,0.1,0,0,44,0,2,50,0,0,67,1,1,10,7,3,5,8,33,100,0,4,50,0,0,100
Midfielder,DM,Mahmoud Dahoud,2,FALSE,6.7,2,77,FALSE,0,0,77,0,0,0,88,1,0,0,0,0,0,0,55,0,2,50,1,0,0,2,1,5,3,2,3,3,50,0,1,0,0,0,0,0
Midfielder,DM,Pascal Gross,2,FALSE,8.1,7 + 3,90,FALSE,1,0,,0,0,2,98,0,0.33,0.24,0.01,0.34,100,0,113,0,7,100,0,0.33,0,0,0,2,6,2,2,4,33,0,0,1,50,0,0,0
Defender,LB,Tariq Lamptey,1,FALSE,8.4,7,77,FALSE,0,2,77,1,0,1,86,2,0.01,0,0.08,0.09,0,0,54,0,4,50,0,0.01,100,0,0,1,3,2,2,3,40,0,0,0,50,0,0,0
Defender,CB,Lewis Dunk,1,TRUE,7.6,2,90,FALSE,0,0,,0,0,0,91,0,0,0,0.01,0.01,0,0,102,0,9,67,1,0,0,2,1,6,11,0,3,2,50,100,1,1,100,0,0,0
Defender,CB,Jan Paul van Hecke,1,FALSE,6.9,1,90,FALSE,0,0,,1,0,0,96,0,0,0,0.01,0.01,0,0,111,0,0,75,0,0,0,3,3,8,4,2,4,3,50,67,0,0,0,0,0,0
Defender,RB,Joel Veltman,1,FALSE,7.6,2,90,FALSE,0,0,,0,0,0,86,0,0,0,0.01,0.01,0,0,87,0,6,67,0,0,100,5,3,12,6,2,6,3,63,100,1,1,100,0,0,0
Keeper,GK,Jason Steele,0,FALSE,6.6,3,90,TRUE,0,0,,0,0,0,91,0,0,0,0,0,0,0,60,0,0,69,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Nick Pope,0,FALSE,7.5,6,90,TRUE,0,0,,0,0,0,59,0,0,0,0,0,0,0,32,0,0,31,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Kieran Trippier,1,TRUE,7.9,6 + 2,90,FALSE,0,0,,0,0,1,81,2,0.01,0,0.2,0.21,0,0,106,0,9,50,1,0.01,100,2,2,4,6,1,7,4,50,71,0,0,100,0,0,25
Defender,CB,Fabian Sch?r,1,FALSE,7.5,6 + 1,90,FALSE,0,0,,0,0,1,77,0,0.02,0,0,0.02,0,1,67,0,3,30,0,0.02,100,4,3,10,9,1,7,7,33,63,2,2,0,0,0,0
Defender,CB,Sven Botman,1,FALSE,7.3,6 + 3,90,FALSE,0,0,,0,0,1,89,1,0.08,0,0.01,0.09,0,0,55,0,3,100,0,0.08,0,4,1,6,5,0,4,3,100,50,0,0,0,0,0,0
Defender,LB,Daniel Burn,1,FALSE,7.6,6,90,FALSE,0,0,,0,0,0,81,1,0,0,0.02,0.02,0,0,82,0,6,50,1,0,50,4,2,9,3,0,5,2,60,100,1,0,0,0,0,0
Midfielder,CM,Sean Longstaff,3,FALSE,6.9,3,90,FALSE,0,0,,0,0,0,80,1,0,0,0.16,0.16,0,0,52,0,9,50,2,0,100,1,1,5,5,0,2,5,40,0,0,1,0,0,0,50
Midfielder,CM,Bruno Guimaraes,3,FALSE,6.9,2,90,FALSE,0,0,,1,0,1,86,1,0.27,0.03,0.06,0.33,100,0,75,0,8,20,1,0.27,0,0,0,3,6,5,4,13,21,33,1,2,40,0,1,0
Midfielder,CM,Elliot Anderson,3,FALSE,7.3,3,90,FALSE,0,0,,0,0,0,66,0,0,0,0.05,0.05,0,0,54,0,4,0,1,0,100,1,1,4,4,0,9,5,67,60,1,1,75,0,0,0
Attacker,ST,Harvey Barnes,5,FALSE,7,3,83,FALSE,0,0,83,0,0,2,77,0,0.06,0,0.03,0.09,0,1,46,0,2,0,3,0.06,0,0,0,2,2,1,8,6,58,50,3,0,75,0,0,0
Attacker,ST,Callum Wilson,5,FALSE,7.1,5,90,FALSE,1,0,,1,0,3,59,0,1,1,0.08,1.08,33,0,49,0,5,0,7,0.21,0,1,1,2,2,0,5,13,31,20,1,1,75,0,0,0
Attacker,ST,Anthony Gordon,5,FALSE,7.4,5,90,FALSE,0,0,,1,0,0,79,0,0,0,0.13,0.13,0,0,48,0,0,0,3,0,100,1,0,4,4,1,6,8,46,0,2,1,50,1,0,33
Attacker,ST,Yoane Wissa,5,FALSE,7,1,90,FALSE,0,0,,1,0,5,59,1,0.3,0.54,0.06,0.36,33,2,43,0,4,0,2,0.3,100,0,0,5,5,0,13,7,64,67,2,3,100,0,1,50
Attacker,ST,Bryan Mbeumo,5,FALSE,5.9,2,90,FALSE,0,0,,0,0,1,67,0,0.04,0,0.02,0.06,0,0,38,0,2,0,0,0.04,100,0,0,1,5,1,4,12,17,30,0,0,0,0,0,0
Midfielder,CM,Vitaly Janelt,3,FALSE,7.3,2,72,FALSE,0,0,72,0,0,0,79,2,0,0,0.12,0.12,0,0,35,0,5,67,0,0,100,1,0,3,6,2,4,2,60,100,0,0,100,0,0,0
Midfielder,CM,Christian N©ªrgaard,3,TRUE,6.4,1,72,FALSE,0,0,72,1,0,2,78,0,0.09,0,0.01,0.1,0,1,44,0,4,0,0,0.09,67,0,0,5,5,4,4,8,38,25,0,1,0,0,0,0
Midfielder,CM,Mathias Jensen,3,FALSE,7.1,2,90,FALSE,0,0,,0,0,0,76,3,0,0,0.22,0.22,0,0,71,0,13,43,1,0,67,1,0,10,5,5,3,8,27,0,0,2,0,0,0,29
Defender,LB,Rico Henry,1,FALSE,6.5,1,42,FALSE,0,0,42,0,0,0,82,0,0,0,0.01,0.01,0,0,17,0,4,100,1,0,100,0,0,2,3,0,4,1,75,100,1,0,0,0,0,0
Defender,CB,Nathan Collins,1,FALSE,7.6,1,90,FALSE,0,0,,1,0,0,82,0,0,0,0.02,0.02,0,0,60,0,2,25,0,0,0,5,4,11,9,1,7,2,67,100,0,1,100,0,0,0
Defender,CB,Ben Mee,1,FALSE,6.7,2,72,FALSE,0,0,72,0,0,0,80,0,0,0,0,0,0,0,36,0,5,40,2,0,100,1,1,6,6,0,4,5,50,33,0,1,0,0,0,0
Defender,CB,Ethan Pinnock,1,FALSE,7.4,2,90,FALSE,0,0,,0,0,0,71,1,0,0,0,0,0,0,49,0,6,33,0,0,0,9,5,13,3,0,6,0,100,100,0,0,0,0,0,0
Defender,RB,Aaron Hickey,1,FALSE,7.1,1,82,FALSE,0,0,82,1,0,1,89,0,0.04,0.09,0,0.04,100,0,34,0,2,100,1,0.04,75,1,1,8,8,0,7,8,64,0,2,3,100,0,0,0
Keeper,GK,Mark Flekken,0,FALSE,6,1,90,TRUE,0,0,,1,0,0,43,0,0,0,0,0,0,0,51,0,0,30,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Matt Turner,0,FALSE,7.2,2,90,TRUE,0,0,,0,0,0,71,0,0,0,0,0,0,0,45,0,0,36,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Gonzalo Montiel,1,FALSE,6.4,0,53,FALSE,0,0,53,1,0,0,66,0,0,0,0.01,0.01,0,0,42,0,4,17,0,0,100,1,1,3,2,2,2,3,25,100,0,1,0,0,0,0
Defender,CB,Joe Worrall,1,TRUE,6.5,2,90,FALSE,0,0,,0,0,0,84,0,0,0,0,0,0,0,62,0,7,33,0,0,0,3,2,5,2,1,1,3,0,33,0,0,0,0,0,0
Defender,CB,Scott McKenna,1,FALSE,7.1,2,90,FALSE,0,0,,0,0,1,83,1,0.02,0,0.07,0.09,0,0,72,0,5,29,0,0.02,0,5,3,8,3,0,6,2,0,86,0,1,0,0,0,0
Defender,LB,Ola Aina,1,FALSE,7.4,2,90,FALSE,0,0,,0,0,1,82,1,0.03,0,0.01,0.04,0,0,62,0,7,0,0,0.03,33,4,3,9,6,1,6,4,56,100,1,2,50,0,0,0
Midfielder,DM,Orel Mangala,2,FALSE,6.8,1,71,FALSE,0,0,71,1,0,2,86,1,0.1,0,0.01,0.11,0,1,38,0,0,0,0,0.1,0,1,0,5,4,0,4,2,50,100,1,2,0,0,0,0
Midfielder,DM,Ibrahim Sangar?,2,FALSE,7.4,2,90,FALSE,0,0,,0,0,1,77,0,0.06,0,0.04,0.1,0,0,56,0,3,25,0,0.06,80,1,1,13,10,2,6,8,42,50,0,3,0,0,0,0
Midfielder,RW,Callum Hudson-Odoi,4,FALSE,8.2,7 + 3,71,FALSE,1,0,71,0,0,3,77,3,0.13,0.72,0.21,0.34,100,1,32,0,2,75,0,0.13,100,0,0,2,1,1,4,2,67,0,1,1,100,0,0,0
Midfielder,AM,Morgan Gibbs-White,4,FALSE,7.5,2,90,FALSE,0,0,,0,0,4,83,2,0.27,0.24,0.06,0.33,50,2,68,0,7,100,0,0.27,100,0,0,2,7,0,8,8,75,25,1,1,67,0,0,0
Midfielder,LW,Anthony Elanga,4,FALSE,6.6,2,90,FALSE,0,0,,0,0,1,77,1,0.03,0.01,0.27,0.3,100,0,48,0,3,50,2,0.03,0,0,0,0,4,0,4,4,50,50,2,0,50,0,0,33
Attacker,ST,Taiwo Awoniyi,5,FALSE,7.4,5,88,FALSE,0,1,88,0,0,1,82,2,0.08,0,0.04,0.12,0,1,14,0,1,0,0,0.08,100,0,0,3,1,0,3,4,33,50,0,2,0,0,0,0
Attacker,ST,Lyle Foster,5,FALSE,6.6,2,89,FALSE,0,1,,0,1,2,68,1,0.15,0.02,0.01,0.16,50,0,33,0,2,100,1,0.15,0,4,4,5,3,0,7,6,60,50,2,1,100,0,1,0
Midfielder,LW,Luca Koleosho,4,FALSE,6.6,2,76,FALSE,0,0,76,0,0,0,62,2,0,0,0.03,0.03,0,0,48,0,2,0,3,0,0,0,0,3,7,0,6,11,43,0,1,2,57,0,0,0
Midfielder,AM,Zeki Amdouni,4,FALSE,7.4,6 + 2,64,FALSE,1,0,64,0,0,3,86,0,0.16,0.53,0.01,0.17,100,1,33,0,0,100,0,0.16,0,0,0,1,2,1,4,6,50,0,3,1,33,0,0,0
Midfielder,RW,Johann Berg Gudmundsson,4,FALSE,6.5,2,63,FALSE,0,0,63,0,0,0,77,0,0,0,0.03,0.03,0,0,32,0,3,33,0,0,100,1,0,3,0,1,3,1,75,0,2,0,0,0,0,33
Midfielder,DM,Josh Brownhill,2,TRUE,7.3,2,90,FALSE,0,0,,0,0,1,70,0,0.07,0,0.01,0.08,0,1,51,0,2,0,1,0.07,100,2,0,6,7,0,5,1,80,100,2,0,0,0,0,0
Midfielder,DM,Josh Cullen,2,FALSE,7.5,1,90,FALSE,0,0,,1,0,0,86,0,0,0,0.02,0.02,0,0,74,0,5,29,0,0,33,3,0,11,10,1,9,4,63,80,3,2,0,0,0,0
Defender,LB,Charlie Taylor,1,FALSE,6.7,2,90,FALSE,0,0,,0,0,1,81,0,0.02,0,0.01,0.03,0,0,66,0,10,86,0,0.02,100,3,1,9,3,1,3,7,29,33,0,3,0,0,0,0
Defender,CB,Ameen Al Dakhil,1,FALSE,6.6,2,90,FALSE,0,0,,0,0,1,91,0,0.04,0,0,0.04,0,1,75,0,6,33,0,0.04,0,6,3,7,2,1,0,3,0,0,0,0,0,0,0,0
Defender,CB,Jordan Beyer,1,FALSE,6.7,2 + 1,87,FALSE,0,0,87,0,0,0,95,0,0,0,0.01,0.01,0,0,90,0,2,80,1,0,0,9,5,9,4,2,2,3,25,100,1,0,0,0,0,0
Defender,RB,Connor Roberts,1,FALSE,6.8,1,90,FALSE,0,0,,1,0,0,92,0,0,0,0.02,0.02,0,0,59,0,8,0,1,0,0,2,2,5,2,0,2,1,67,0,2,0,0,0,0,0
Keeper,GK,James Trafford,0,FALSE,7,2,90,TRUE,0,0,,1,0,0,88,0,0,0,0,0,0,0,57,0,0,40,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Guglielmo Vicario,0,FALSE,7.2,3,90,TRUE,0,0,,0,0,0,82,0,0,0,0,0,0,0,34,0,0,33,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Pedro Porro,1,FALSE,7.8,2,89,FALSE,0,0,90,0,0,1,91,4,0.04,0,0.25,0.29,0,0,75,0,9,50,0,0.04,0,0,0,2,2,1,4,2,80,0,1,0,100,0,0,17
Defender,CB,Cristian Romero,1,FALSE,7.8,2,90,FALSE,0,0,,0,0,2,90,1,0.06,0,0.09,0.15,0,0,90,0,4,67,0,0.06,67,2,1,7,11,0,5,4,75,40,1,1,0,0,0,0
Defender,CB,Micky van de Ven,1,FALSE,6.7,1,89,FALSE,0,0,90,1,0,0,97,0,0,0,0.01,0.01,0,0,76,0,4,100,0,0,33,1,0,6,5,0,8,13,50,33,0,2,0,0,0,0
Defender,LB,Iyenoma Udogie,1,FALSE,8,2,90,FALSE,0,0,,0,0,0,87,0,0,0,0.06,0.06,0,0,91,0,8,33,1,0,33,1,1,7,12,0,5,3,83,0,1,0,100,0,0,0
Midfielder,DM,Pape Sarr,2,FALSE,7.5,2,80,FALSE,0,0,80,0,0,3,95,2,0.28,0.2,0.05,0.33,100,1,68,0,7,33,1,0.28,0,0,0,2,5,0,1,1,50,0,0,1,100,0,1,0
Midfielder,DM,Yves Bissouma,2,FALSE,8,1,90,FALSE,0,0,,1,0,2,88,3,0.46,0.8,0.22,0.68,100,1,110,0,12,50,5,0.46,100,0,0,2,10,0,8,7,58,33,2,0,100,0,1,0
Midfielder,RW,Dejan Kulusevski,4,FALSE,8.3,7 + 3,90,FALSE,1,0,,0,0,7,80,5,0.32,0.2,0.3,0.62,100,5,62,0,1,0,0,0.32,0,0,0,3,1,1,2,5,17,100,0,2,0,0,0,40
Midfielder,AM,James Maddison,4,FALSE,8.2,1,90,FALSE,0,0,,1,0,3,82,4,0.16,0.09,0.22,0.38,67,0,94,0,17,20,1,0.16,67,0,0,3,2,1,9,4,69,0,3,0,60,0,0,17
Midfielder,LW,Manor Solomon,4,FALSE,7.8,1,80,FALSE,0,0,80,1,0,4,83,4,0.28,0.18,0.36,0.64,25,0,52,0,2,0,1,0.28,0,0,0,2,5,1,5,8,38,0,1,2,50,0,0,50
Attacker,ST,Heung-Min Son,5,TRUE,6.5,2,80,FALSE,0,0,80,0,0,3,89,0,0.16,0.35,0.02,0.18,50,1,29,0,0,0,0,0.16,0,0,0,1,0,0,2,3,33,50,1,1,0,0,0,0
Attacker,ST,Cameron Archer,5,FALSE,5.9,1,90,FALSE,0,0,,1,0,0,81,1,0,0,0.07,0.07,0,0,35,0,0,0,4,0,0,0,0,3,1,0,4,6,43,33,1,1,100,0,0,0
Attacker,ST,Oliver McBurnie,5,FALSE,5.6,-1,89,FALSE,0,0,,0,0,2,53,0,0.16,0.14,0.01,0.17,100,1,55,0,12,0,3,0.16,50,3,3,9,2,0,18,14,45,62,3,3,0,0,0,0
Midfielder,LM,Luke Thomas,3,FALSE,6.5,1,90,FALSE,0,0,,0,0,0,86,0,0,0,0,0,0,0,29,0,2,100,1,0,50,6,4,9,3,0,4,2,60,100,1,1,0,0,0,0
Midfielder,CM,Gustavo Hamer,3,FALSE,7.8,8 + 2,81,FALSE,1,0,81,0,0,1,63,3,0.08,0.75,0.19,0.27,100,0,51,0,7,0,1,0.08,0,2,1,6,7,5,3,8,27,0,0,1,0,0,0,67
Midfielder,CM,James McAtee,3,FALSE,6.2,3,70,FALSE,0,0,70,0,0,2,83,0,0.3,0.24,0.01,0.31,100,0,16,0,0,0,1,0.3,100,0,0,1,0,1,3,4,50,0,1,0,50,0,0,0
Midfielder,CM,Vinicius de Souza Costa,3,FALSE,7.4,2,90,FALSE,0,0,,0,0,0,91,0,0,0,0,0,0,0,37,0,3,50,0,0,100,4,3,10,5,1,5,1,75,100,1,0,100,0,0,0
Midfielder,RM,Jayden Bogle,3,FALSE,6.1,6,86,FALSE,0,0,86,0,0,0,73,1,0,0,0.05,0.05,0,0,27,0,0,50,1,0,0,3,2,6,4,3,0,6,0,0,0,2,0,0,0,0
Defender,CB,Jack Robinson,1,FALSE,7.1,3,90,FALSE,0,1,,1,0,0,75,1,0,0,0.01,0.01,0,0,36,0,2,0,0,0,50,3,2,8,3,1,5,3,80,33,1,0,100,0,0,0
Defender,CB,Chris Basham,1,TRUE,6.3,0,90,FALSE,0,0,,1,0,1,65,0,0.1,0,0,0.1,0,0,49,0,5,20,0,0.1,0,8,4,11,3,2,5,5,40,60,1,1,100,0,1,0
Defender,CB,Anel Ahmedhodzic,1,FALSE,6,1,90,FALSE,0,0,,0,0,0,59,0,0,0,0.01,0.01,0,0,37,0,8,44,1,0,67,2,0,11,5,0,3,6,38,0,0,2,0,0,0,0
Keeper,GK,Wesley Foderingham,0,FALSE,8,2 + 1,90,TRUE,0,0,,1,0,0,69,0,0,0,0,0,0,0,63,0,0,59,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Alphonse Areola,0,FALSE,7.2,4,90,TRUE,0,0,,0,0,0,93,0,0,0,0,0,0,0,33,0,0,75,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Defender,RB,Vladimir Coufal,1,FALSE,7,4,87,FALSE,0,1,87,0,0,0,71,1,0,0,0.24,0.24,0,0,42,0,3,0,0,0,100,1,0,9,3,3,6,5,50,67,0,1,0,0,0,100
Defender,CB,Kurt Zouma,1,TRUE,5.9,1,90,FALSE,0,0,,0,0,1,97,0,0.05,0.32,0,0.05,100,0,39,0,0,100,0,0.05,0,4,3,8,3,0,1,0,0,100,0,0,0,0,0,0
Defender,CB,Nayef Aguerd,1,FALSE,6.8,1,90,FALSE,0,0,,0,0,2,87,0,0.25,0,0,0.25,0,0,66,0,4,62,0,0.25,0,8,5,15,2,0,3,1,100,67,1,0,0,0,1,0
Defender,LB,Emerson,1,FALSE,5.9,1,90,FALSE,0,0,,0,0,1,88,1,0.06,0,0.01,0.07,0,1,45,0,0,0,0,0.06,50,1,1,4,2,0,3,3,75,0,0,1,100,0,0,0
Midfielder,DM,Tomas Soucek,2,FALSE,6.6,1,87,FALSE,0,0,87,1,0,0,88,1,0,0,0.25,0.25,0,0,28,0,2,0,0,0,0,4,3,8,4,0,7,1,50,100,0,0,0,0,0,0
Midfielder,DM,Edson _lvarez,2,FALSE,6,1,68,FALSE,0,0,68,1,0,0,89,0,0,0,0,0,0,0,38,0,0,0,2,0,0,6,3,7,2,2,2,6,29,0,2,1,0,0,0,0
Midfielder,RW,Jarrod Bowen,4,FALSE,6,2,90,FALSE,0,0,,0,0,0,83,0,0,0,0.03,0.03,0,0,34,0,0,0,2,0,100,0,0,4,2,1,3,6,29,50,1,1,0,0,0,25
Midfielder,AM,James Ward-Prowse,4,FALSE,7.6,7,90,FALSE,1,0,,0,0,2,93,2,0.57,1.02,0.15,0.72,100,0,46,0,1,100,1,0.57,0,2,1,6,2,0,1,3,33,0,1,1,0,0,0,50
Midfielder,LW,Lucas Paquet?,4,FALSE,7.1,1,90,FALSE,0,0,,1,0,0,84,0,0,0,0.18,0.18,0,0,79,0,7,88,1,0,33,1,0,6,6,1,8,3,73,0,3,1,100,0,0,0
Attacker,ST,Michail Antonio,5,FALSE,6.5,2,67,FALSE,0,0,67,0,0,0,83,1,0,0,0.01,0.01,0,0,17,0,0,0,0,0,0,0,0,1,1,0,3,2,75,0,1,0,50,0,0,0
Attacker,ST,Erling Haaland,5,FALSE,8.3,6,89,FALSE,1,0,90,0,0,9,69,1,2.56,1.79,0.03,2.59,86,2,22,0,0,0,0,2.56,0,0,0,0,0,0,1,0,0,100,0,0,0,0,5,0
Midfielder,LW,J?r?my Doku,4,FALSE,8.6,7 + 2,89,FALSE,1,0,90,0,0,3,83,3,0.09,0.64,0.63,0.72,100,1,64,0,2,0,0,0.09,100,0,0,2,6,0,8,6,58,50,2,0,38,0,0,0
Midfielder,AM,Juli?n _lvarez,4,FALSE,8.8,8 + 1,90,FALSE,0,2,,0,0,2,92,4,0.06,0,0.43,0.49,0,1,67,0,5,100,0,0.06,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,22
Midfielder,RW,Phil Foden,4,FALSE,6.8,2,67,FALSE,0,0,67,0,0,5,85,2,0.15,0.44,0.16,0.31,100,4,51,0,0,100,1,0.15,100,0,0,3,3,0,2,4,33,0,1,2,0,0,0,0
Midfielder,DM,Bernardo Silva,2,FALSE,8.7,10 + 3,89,FALSE,1,1,90,0,0,1,95,4,0.35,0.98,0.56,0.91,100,0,81,0,1,100,1,0.35,0,0,0,2,1,3,2,5,29,0,0,1,100,0,0,100
Midfielder,DM,Rodri,2,FALSE,8.3,1,90,FALSE,0,0,,1,0,5,97,4,0.2,0.2,1.12,1.32,50,1,130,0,20,100,0,0.2,0,0,0,4,5,0,5,7,57,20,1,2,67,0,0,0
Defender,LB,Josko Gvardiol,1,FALSE,7.5,1,89,FALSE,0,0,90,1,0,2,92,2,0.08,0.14,0.36,0.44,50,0,92,0,11,75,2,0.08,100,0,0,3,8,0,4,8,43,20,1,2,100,0,0,33
Defender,CB,Ruben Dias,1,FALSE,7.3,2,90,FALSE,0,0,,0,0,2,92,0,0.19,0.11,0.04,0.23,100,0,80,0,6,50,0,0.19,0,2,1,5,3,1,2,2,0,100,0,1,0,0,1,0
Defender,CB,Manuel Akanji,1,FALSE,7.7,2,90,FALSE,0,0,,0,0,0,99,2,0,0,0.04,0.04,0,0,98,0,12,67,1,0,50,1,1,6,5,0,2,1,67,0,0,0,0,0,0,0
Defender,RB,Kyle Walker,1,TRUE,8,2,90,FALSE,0,0,,0,0,0,94,2,0,0,0.15,0.15,0,0,106,0,8,67,2,0,67,2,1,7,8,0,6,3,57,100,1,1,0,0,0,33
Keeper,GK,Ederson Moraes,0,FALSE,6.9,2,90,TRUE,0,0,,0,0,0,88,0,0,0,0,0,0,0,34,0,0,50,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Keeper,GK,Jos? S?,0,FALSE,6.6,2,90,TRUE,0,0,,0,0,0,28,0,0,0,0,0,0,0,33,0,0,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
